account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
2aea9a07-b3d8-3022-9afe-54c6b3d36c29,2aea9a07-b3d8-3022-9afe-54c6b3d36c29,070D74D1-30C8-4687-A21A-2D890764205E,477.54,-1021.77,3,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
0e608593-8a61-347d-b1d0-bde1c2010144,0e608593-8a61-347d-b1d0-bde1c2010144,cf1a1015-81cb-4d0b-8e2b-f43ad3bdef57,1218.27,-1218.27,13,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
fLpynswU4Eh5yhpJSf0Gig,fLpynswU4Eh5yhpJSf0Gig,46096b3c-b989-4eb2-b419-543d998bb82a,2360.63,-6117.02,31,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
10000000000026650643,10000000000026650643,c8953f6f-cb8f-449a-b324-b6d7bc96ffe9,32548.04,-33291.64,496,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
10000000000026290037,10000000000026290037,158A910B-6E8A-4A72-8784-2C035C40B21D,11245.14,-29142.06,522,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
Ojq8-L5vFO8FO0TTqh409A,Ojq8-L5vFO8FO0TTqh409A,87bd568f-e5ff-42f4-8268-0f81a37a7e96,15036.12,-16374.21,585,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
cRb4yaK48l7BwDxKCK9tWqNLHsPVewl81sIGv9GH,cRb4yaK48l7BwDxKCK9tWqNLHsPVewl81sIGv9GH,29d41740-aa4d-4090-85fd-ba60012616ab,1560.0,-1604.25,55,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
cc03942c-f755-3ac0-b48d-2750fa5a3407,cc03942c-f755-3ac0-b48d-2750fa5a3407,644a6841-2941-421b-9423-17ed877212da,5511.33,-5577.0,63,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
acc_0000AU4OLarzMpcCpxh3zu,acc_0000AU4OLarzMpcCpxh3zu,1a9d78a0-5ebc-49cb-9071-e964e7e7e8e8,8426.41,-9661.07,88,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
b1gzVUk6INDyV0jNocnHJQ,b1gzVUk6INDyV0jNocnHJQ,cfb4c793-4e2c-4c79-849b-d1f0bae65770,210.0,-1270.72,39,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
40330eaa-9136-3750-8add-503eb1c56789,40330eaa-9136-3750-8add-503eb1c56789,f4516598-9dc1-4cce-a1b8-39fee66e488f,1575.91,-1612.74,105,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
D17256DC512DB95CE9D15D7C232C1BC1,D17256DC512DB95CE9D15D7C232C1BC1,20b3b96d-5eca-442d-b6ba-0db835645356,2443.68,-2424.41,47,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
10000000000026802884,10000000000026802884,6ad71a7b-603f-4320-9e92-5464d1ef3b04,1936.35,-1307.65,15,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
565E248D773C52B75DDC6C011D2860B7,565E248D773C52B75DDC6C011D2860B7,19C7DF36-5961-4287-82EB-3E12A2846D2B,383.42,-722.19,53,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
acc_0000ArUKfNYuGt2H3ews2T,acc_0000ArUKfNYuGt2H3ews2T,4586d34a-bef2-468e-acc5-70b40578988f,910.64,-910.58,64,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
02e95f51-a8ab-37de-81ed-bda17c89cf67,02e95f51-a8ab-37de-81ed-bda17c89cf67,512beeba-7215-4ed3-82c3-0ed48ceb4e63,2919.0,-6007.78,242,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
KgQN3m4raHzIyXzyU6U6JA,KgQN3m4raHzIyXzyU6U6JA,40880F2E-0CC9-4B35-B4AA-1ED3E1A2F7B7,95.0,-1983.46,66,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
da1e5722-6fdc-3c1d-8d36-d0d702a0b744,da1e5722-6fdc-3c1d-8d36-d0d702a0b744,5BCC950C-0A99-4F7B-82BC-817B986F8051,198.7,-197.85,7,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
9f249c62-02a8-3dac-8f99-f88d6ae5f09e,9f249c62-02a8-3dac-8f99-f88d6ae5f09e,61805099-c1b1-4992-ae7e-ae2467003d01,4477.17,-5473.67,182,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
b99bcf70-c77a-4785-accc-c41358edd3e8,b99bcf70-c77a-4785-accc-c41358edd3e8,628a146b-abb6-4332-836a-0213d626189b,13899.95,-13899.95,47,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
894d02b8-0abc-49eb-a9d4-7c91ce788d61,894d02b8-0abc-49eb-a9d4-7c91ce788d61,9B033196-1A1E-438E-B014-4D1FF933B9EF,183.78,-1171.91,25,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
acc_0000APzJvw66GTf0DIOD6P,acc_0000APzJvw66GTf0DIOD6P,454CC480-6B7B-4C3D-AF92-ABDB1EE2ABDA,206.08,-5719.04,22,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
36d814d8-276e-38d8-93d5-846f12ab1d1b,36d814d8-276e-38d8-93d5-846f12ab1d1b,b00d15d6-1972-4a75-a7e1-669005a3d9ff,2771.54,-2771.54,46,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
